h_id	tax_id	enterez_id	genesymbol	??	???
3	9606	34	ACADM	4557231	NP_000007.1
3	10090	11364	Acadm	6680618	NP_031408.1
3	10116	24158	Acadm	292494885	NP_058682.2
5	9606	37	ACADVL	4557235	NP_000009.1
5	10090	11370	Acadvl	23956084	NP_059062.1
5	10116	25363	Acadvl	6978435	NP_037023.1
6	9606	38	ACAT1	4557237	NP_000010.1
6	10090	110446	Acat1	21450129	NP_659033.1
6	10116	25014	Acat1	401461805	NP_058771.2
7	9606	90	ACVR1	4501895	NP_001096.1
7	10090	11477	Acvr1	158937274	NP_001103674.1
7	10116	79558	Acvr1	13324702	NP_077812.1
9	9606	6442	SGCA	4506911	NP_000014.1
9	10090	20391	Sgca	6677923	NP_033187.1
9	10116	303468	Sgca	157823585	NP_001100509.1
12	9606	158	ADSL	4557269	NP_000017.1
12	10090	11564	Adsl	29788764	NP_033764.2
12	10116	315150	Adsl	194473622	NP_001123975.1
13	9606	175	AGA	285002251	NP_000018.2
13	10090	11593	Aga	54292135	NP_001005847.1
13	10116	290923	Aga	72255513	NP_001026811.1
14	9606	183	AGT	4557287	NP_000020.1
14	10090	11606	Agt	113461998	NP_031454.3
14	10116	24179	Agt	19705570	NP_602308.1
16	9606	210	ALAD	189083849	NP_000022.3
16	10090	17025	Alad	34328485	NP_032551.3
16	10116	25374	Alad	6978483	NP_037031.1
17	9606	212	ALAS2	83977442	NP_000023.2
17	10090	11656	Alas2	33859502	NP_033783.1
17	10116	25748	Alas2	6978485	NP_037329.1
20	9606	270	AMPD1	289547500	NP_000027.2
20	10090	229665	Ampd1	114431240	NP_001028475.2
20	10116	25028	Ampd1	20302047	NP_620231.1
26	9606	350	APOH	153266841	NP_000033.2
26	10090	11818	Apoh	160358825	NP_038503.4
26	10116	287774	Apoh	57528174	NP_001009626.1
27	9606	355	FAS	4507583	NP_000034.1
27	10090	14102	Fas	226443049	NP_032013.2
27	10116	246097	Fas	59624977	NP_631933.2
28	9606	367	AR	21322252	NP_000035.2
28	10090	11835	Ar	7304901	NP_038504.1
28	10116	24208	Ar	6978535	NP_036634.1
29	9606	383	ARG1	346986435	NP_001231367.1
29	10090	11846	Arg1	7106255	NP_031508.1
29	10116	29221	Arg1	166091458	NP_058830.2
32	9606	435	ASL	31541964	NP_000039.2
32	10090	109900	Asl	19526986	NP_598529.1
32	10116	59085	Asl	31377525	NP_067588.2
33	9606	443	ASPA	189339202	NP_001121557.1
33	10090	11484	Aspa	31560279	NP_075602.2
33	10116	79251	Aspa	13242314	NP_077375.1
35	9606	538	ATP7A	532691750	NP_000043.4
35	10090	11977	Atp7a	157951682	NP_001103227.1
35	10116	24941	Atp7a	16258817	NP_434690.1
39	9606	594	BCKDHB	34101272	NP_898871.1
39	10090	12040	Bckdhb	40353220	NP_954665.1
39	10116	29711	Bckdhb	158749538	NP_062140.1
41	9606	675	BRCA2	119395734	NP_000050.2
41	10090	12190	Brca2	124487411	NP_033895.2
41	10116	360254	Brca2	347800722	NP_113730.2
44	9606	710	SERPING1	73858568	NP_000053.2
44	10090	12258	Serping1	163914390	NP_033906.2
44	10116	295703	Serping1	40018558	NP_954524.1
45	9606	717	C2	14550407	NP_000054.2
45	10090	12263	C2	157951694	NP_038512.2
45	10116	24231	C2	47575877	NP_757376.2
47	9606	729	C6	169636415	NP_000056.2
47	10090	12274	C6	161086891	NP_057913.2
47	10116	24237	C6	28570180	NP_788263.1
48	9606	732	C8B	514239916	NP_000057.2
48	10090	110382	C8b	33563297	NP_598643.1
48	10116	313421	C8b	300795863	NP_001178688.1
52	9606	825	CAPN3	4557405	NP_000061.1
52	10090	12335	Capn3	157951713	NP_031627.2
52	10116	29155	Capn3	8393041	NP_058813.1
55	9606	917	CD3G	4557429	NP_000064.1
55	10090	12502	Cd3g	6753350	NP_033980.1
55	10116	300678	Cd3g	117647204	NP_001071114.1
56	9606	959	CD40LG	4557433	NP_000065.1
56	10090	21947	Cd40lg	15011846	NP_035746.2
56	10116	84349	Cd40lg	16758076	NP_445805.1
59	9606	1134	CHRNA1	87567783	NP_001034612.1
59	10090	11435	Chrna1	31542391	NP_031415.2
59	10116	79557	Chrna1	13324700	NP_077811.1
60	9606	1145	CHRNE	4557463	NP_000071.1
60	10090	11448	Chrne	6752950	NP_033733.1
60	10116	29422	Chrne	8393129	NP_058890.1
61	9606	1130	LYST	54292123	NP_000072.2
61	10090	17101	Lyst	111955376	NP_034878.2
61	10116	85419	Lyst	16758280	NP_445970.1
62	9606	1161	ERCC8	4557467	NP_000073.1
